T,Al,Cu,Si,Mg,Fe,Viscosity
946.98946,1,0,0,0,0,1.09849
976.83114,1,0,0,0,0,1.03941
1012.47537,1,0,0,0,0,0.97046
1046.7104,1,0,0,0,0,0.91365
1083.84672,1,0,0,0,0,0.8556
1118.08176,1,0,0,0,0,0.82761
1153.31152,1,0,0,0,0,0.78253
1187.13209,1,0,0,0,0,0.74157
1223.43947,1,0,0,0,0,0.71357
936.95299,1,0,0,0,0,1.35899
946.54936,1,0,0,0,0,1.32225
958.65179,1,0,0,0,0,1.29623
970.81534,1,0,0,0,0,1.25215
983.10114,1,0,0,0,0,1.21327
995.20357,1,0,0,0,0,1.1799
1007.36712,1,0,0,0,0,1.15479
1019.53067,1,0,0,0,0,1.13091
1031.69423,1,0,0,0,0,1.10122
1043.73553,1,0,0,0,0,1.08652
1056.32695,1,0,0,0,0,1.06479
1068.18488,1,0,0,0,0,1.03999
1080.40956,1,0,0,0,0,1.02346
1092.45086,1,0,0,0,0,0.99928
1104.79778,1,0,0,0,0,0.97693
1116.77796,1,0,0,0,0,0.95672
1129.675,1,0,0,0,0,0.9408
1142.32754,1,0,0,0,0,0.92152
1152.53514,1,0,0,0,0,0.90621
1162.92611,1,0,0,0,0,0.89519
1172.15574,1,0,0,0,0,0.87621
1182.85233,1,0,0,0,0,0.8609
1192.99881,1,0,0,0,0,0.85692
938.42,1,0,0,0,0,1.39
954.78,1,0,0,0,0,1.33
995.67,1,0,0,0,0,1.25
1015.97,1,0,0,0,0,1.2
1046.36,1,0,0,0,0,1.16
1077.36,1,0,0,0,0,1.11
1107.15,1,0,0,0,0,1.08
1137.75,1,0,0,0,0,1.04
1167.74,1,0,0,0,0,1
933.47,1,0,0,0,0,1.11
972.95,1,0,0,0,0,1.05
1072.72,1,0,0,0,0,0.93
1172.89,1,0,0,0,0,0.83
1272.96,1,0,0,0,0,0.76
951.34,1,0,0,0,0,1.34
979.31,1,0,0,0,0,1.28
1008.29,1,0,0,0,0,1.18
1032.93,1,0,0,0,0,1.15
1056.16,1,0,0,0,0,1.09
1087.97,1,0,0,0,0,1.05
1114.02,1,0,0,0,0,1.04
944.37,1,0,0,0,0,1.28
961.04,1,0,0,0,0,1.2
978.2,1,0,0,0,0,1.09
1003.55,1,0,0,0,0,1.03
1035.66,1,0,0,0,0,1.07
